"Date","Price","Open","High","Low","Vol.","Change %"
"06/14/2023","17,950","18,000","18,100","17,800","250.30K","-0.55%"
"06/13/2023","18,050","17,800","18,150","17,750","444.10K","0.28%"
"06/12/2023","18,000","18,000","18,100","17,500","342.90K","0.00%"
"06/09/2023","18,000","18,150","18,200","17,800","539.60K","-0.83%"
"06/08/2023","18,150","18,050","18,400","17,950","526.70K","-0.55%"
"06/07/2023","18,250","18,200","18,300","18,000","344.40K","0.27%"
"06/06/2023","18,200","18,150","18,300","18,000","236.20K","0.28%"
"06/05/2023","18,150","18,100","18,300","18,000","378.70K","0.28%"
"06/02/2023","18,100","18,300","18,550","18,100","579.30K","-2.16%"
"06/01/2023","18,500","18,500","18,550","18,250","177.70K","0.00%"
"05/31/2023","18,500","18,400","18,600","18,250","282.20K","0.82%"
"05/30/2023","18,350","18,250","18,400","18,150","169.40K","0.55%"
"05/29/2023","18,250","18,400","18,500","18,200","97.40K","-0.82%"
"05/26/2023","18,400","18,050","18,450","18,050","184.50K","0.00%"
"05/25/2023","18,400","17,850","18,500","17,800","130.30K","2.22%"
"05/24/2023","18,000","18,350","18,700","17,950","443.30K","-2.70%"
"05/23/2023","18,500","18,900","19,050","18,350","249.00K","-1.60%"
"05/22/2023","18,800","18,950","18,950","18,450","208.50K","-1.05%"
"05/19/2023","19,000","17,900","19,250","17,850","618.40K","5.56%"
"05/18/2023","18,000","18,400","18,400","17,950","254.70K","0.28%"
"05/17/2023","17,950","17,600","18,150","17,550","1.10M","0.84%"
"05/16/2023","17,800","17,800","17,950","17,600","203.20K","0.00%"
"05/15/2023","17,800","17,850","18,100","17,800","207.40K","-1.66%"
"05/12/2023","18,100","18,100","18,100","17,850","216.50K","-0.55%"
"05/11/2023","18,200","17,800","18,500","17,800","169.50K","0.28%"
"05/10/2023","18,150","17,550","18,200","17,550","529.70K","2.54%"
"05/09/2023","17,700","17,450","17,800","17,450","167.90K","0.28%"
"05/08/2023","17,650","17,500","18,000","17,500","181.00K","-1.40%"
"05/05/2023","17,900","18,000","18,050","17,500","265.50K","-3.24%"
"05/04/2023","18,500","17,000","18,500","16,900","549.90K","6.63%"
"04/28/2023","17,350","17,000","17,500","16,700","389.20K","2.36%"
"04/27/2023","16,950","16,950","17,000","16,750","132.50K","0.89%"
